route_idx,route_progress_m,x,y,z,yaw_deg,road_option,road_id,section_id,lane_id,waypoint_s,lane_width_m,is_junction,junction_id
-1,0.0,-24.33677864074707,-57.78562545776367,0.5999999642372131,0.5967350006103516,LANEFOLLOW,7,0,-2,4.000000000000018,3.5,False,
0,0.5016312462854811,-23.836997985839844,-57.742576599121094,0.0,0.5967352390289307,LANEFOLLOW,7,0,-2,4.000000000000018,3.5,False,
1,2.501630984337347,-21.837106704711914,-57.72174835205078,0.0,0.5967352390289307,LANEFOLLOW,7,0,-2,6.000000000000016,3.5,False,
2,4.501632629634415,-19.83721351623535,-57.70092010498047,0.0,0.5967352390289307,LANEFOLLOW,7,0,-2,8.000000000000014,3.5,False,
3,6.501630500171489,-17.837324142456055,-57.68008804321289,0.0,0.5967352390289307,LANEFOLLOW,7,0,-2,10.000000000000012,3.5,False,
4,8.501632145468555,-15.837430953979492,-57.65925979614258,0.0,0.5967352390289307,LANEFOLLOW,7,0,-2,12.00000000000001,3.5,False,
5,10.501631923250793,-13.837539672851562,-57.638427734375,0.0,0.5967352390289307,LANEFOLLOW,7,0,-2,14.000000000000009,3.5,False,
6,12.501631661302659,-11.837648391723633,-57.61759948730469,0.0,0.5967352390289307,LANEFOLLOW,7,0,-2,16.000000000000004,3.5,False,
7,14.501631399354524,-9.837757110595703,-57.596771240234375,0.0,0.5967352390289307,LANEFOLLOW,7,0,-2,18.0,3.5,False,
8,16.501631177136762,-7.837865829467773,-57.5759391784668,0.0,0.5967352390289307,LANEFOLLOW,7,0,-2,19.999999999999996,3.5,False,
9,18.9649577039976,-5.374672889709473,-57.55028533935547,0.0,0.59674072265625,LANEFOLLOW,17,0,2,12.731014854747045,3.5,False,
10,18.9649577039976,-5.374672889709473,-57.55028533935547,0.0,0.59674072265625,LANEFOLLOW,17,0,2,12.731014854747045,3.5,False,
11,20.95502518985861,-3.384722948074341,-57.528656005859375,0.0,0.70513916015625,LANEFOLLOW,17,0,2,10.731014854747047,3.5,False,
12,22.935797645768133,-1.4041526317596436,-57.50035858154297,0.0,0.9149627685546875,LANEFOLLOW,17,0,2,8.731014854747048,3.5,False,
13,24.93579754149007,0.5955922603607178,-57.468421936035156,0.0,0.9149627685546875,LANEFOLLOW,17,0,2,6.73101485474705,3.5,False,
14,26.93793428830542,2.5974743366241455,-57.43648910522461,0.0,360.8916015625,LANEFOLLOW,17,0,2,4.731014854747052,3.5,False,
15,28.973375127185005,4.632763862609863,-57.41167068481445,0.0,360.50482177734375,LANEFOLLOW,17,0,2,2.731014854747054,3.5,False,
16,31.753180961432243,7.412545204162598,-57.400001525878906,0.0,359.9765625,LANEFOLLOW,10,0,2,120.40156041807722,3.5,False,
17,31.753180961432243,7.412545204162598,-57.400001525878906,0.0,359.9765625,LANEFOLLOW,10,0,2,120.40156041807722,3.5,False,
18,33.75318112803711,9.412545204162598,-57.40081787109375,0.0,359.9765625,LANEFOLLOW,10,0,2,118.40156041807722,3.5,False,
19,35.75318129464198,11.412545204162598,-57.401634216308594,0.0,359.9765625,LANEFOLLOW,10,0,2,116.40156041807722,3.5,False,
20,37.753181461246854,13.412545204162598,-57.40245056152344,0.0,359.9765625,LANEFOLLOW,10,0,2,114.40156041807722,3.5,False,
21,39.753181627851724,15.412545204162598,-57.40326690673828,0.0,359.9765625,LANEFOLLOW,10,0,2,112.40156041807722,3.5,False,
22,41.75318274813083,17.412546157836914,-57.404083251953125,0.0,359.9765625,LANEFOLLOW,10,0,2,110.40156041807722,3.5,False,
23,43.753182916296396,19.412546157836914,-57.404903411865234,0.0,359.9765625,LANEFOLLOW,10,0,2,108.40156041807722,3.5,False,
24,45.753183082901266,21.412546157836914,-57.40571975708008,0.0,359.9765625,LANEFOLLOW,10,0,2,106.40156041807722,3.5,False,
25,47.75318324950614,23.412546157836914,-57.40653610229492,0.0,359.9765625,LANEFOLLOW,10,0,2,104.40156041807722,3.5,False,
26,49.75318341611101,25.412546157836914,-57.407352447509766,0.0,359.9765625,LANEFOLLOW,10,0,2,102.40156041807722,3.5,False,
27,51.75318358271588,27.412546157836914,-57.40816879272461,0.0,359.9765625,LANEFOLLOW,10,0,2,100.40156041807722,3.5,False,
28,53.75318375088144,29.412546157836914,-57.40898895263672,0.0,359.9765625,LANEFOLLOW,10,0,2,98.40156041807722,3.5,False,
